Year,Month,Economic_Confidence_Index,Consumer_Confidence_Index,Real_Sector_Confidence_Index,Services_Confidence_Index,Retail_Trade_Confidence_Index,Construction_Confidence_Index
2011.0,1.0,113.91783285183728,94.44739479591311,115.1,131.178799,131.4756301,105.7286887
2011.0,2.0,112.07099195107374,96.14787924934913,111.2,129.5531393,131.2104448,103.9469118
2011.0,3.0,111.40623042895555,95.92783117040763,111,129.7790064,127.8963715,95.62804903
2011.0,4.0,111.71840776657692,95.80490482779214,111.2,129.7247569,127.3728239,103.57658
2011.0,5.0,112.32556570339358,95.26633836258314,112.4,130.6080766,125.7602398,104.9550288
2011.0,6.0,112.84689164276678,97.96949193076975,111.5,130.8104161,128.3933028,105.2845066
2011.0,7.0,111.91368997139728,97.02336064209595,110.2,129.2722386,125.7180889,107.4537466
2011.0,8.0,109.35710812793297,94.72218832483264,108.9,125.7116081,124.9634567,101.1389155
2011.0,9.0,112.29404144148297,95.72427890446043,112.3,128.1901081,126.3280272,103.0439498
2011.0,10.0,107.88874715939995,92.02780661691622,106.8,126.8295599,125.7522068,102.8809806
2011.0,11.0,108.38642262042303,92.6842574245045,107.9,126.9192031,124.3408047,101.1767326
2011.0,12.0,108.0025201814367,92.82487385963005,106.7,126.9310855,124.6773733,101.1268534
2012.0,1.0,106.11957215790562,92.73639956,104.7,125.0560641,123.0312235,100.8850685
2012.0,2.0,107.91088626261131,94.03196203425,109.3,124.2600282,123.0543187,97.72378017
2012.0,3.0,108.22239204851321,93.32288373925,109,124.9088637,124.0009648,100.0777871
2012.0,4.0,106.77540830910682,88.85103829075,109.7,124.9651761,123.4266977,102.5527983
2012.0,5.0,107.49887044621492,91.811754518,108.5,125.4036795,123.9122926,103.4425551
2012.0,6.0,105.24450050971862,91.14010027325,104,126.0682147,120.8844442,100.8137319
2012.0,7.0,107.19155540697221,91.8523299685,106.4,126.9764237,120.1874003,99.08124705
2012.0,8.0,105.21220113816993,89.85915940175,105.6,124.8855737,122.8294888,98.2434958
2012.0,9.0,104.98506148470527,89.11812605575,103.6,124.1288026,126.9754813,99.19444221
2012.0,10.0,103.74261404123739,85.26218990475,105.8,124.5972505,121.8411424,96.19434581
2012.0,11.0,105.13595757986346,89.85528210625,107.3,121.9969864,119.9757694,93.97524361
2012.0,12.0,103.85606203354351,89.3120768015,104.9,122.5033588,121.2792053,91.15493971
2013.0,1.0,104.88539902589739,91.76537875425,105,122.845454,124.4695681,93.08474014
2013.0,2.0,106.63834414062886,92.03255598775,106.8,124.0518484,127.3000506,93.64283215
2013.0,3.0,107.79900047950399,92.20307101225,108.4,123.5969628,128.7617261,99.01968527
2013.0,4.0,106.57120899204344,92.80769926625,105.9,125.2690499,125.5462265,95.69290825
2013.0,5.0,107.970675654072,95.40903945925,108.4,124.2754624,123.3253958,96.97764932
2013.0,6.0,108.5609862246821,94.411084306,110,122.4306647,123.2177961,95.35710183
2013.0,7.0,107.14320151922173,95.89125577125,106.2,121.2540975,119.5430811,94.5209018
2013.0,8.0,107.85114753226017,94.87160075175,106.9,124.3451948,123.2702241,94.87371798
2013.0,9.0,106.17749681088569,91.5185867365,105.4,122.8886808,127.6039516,93.31737053
2013.0,10.0,107.84659183694413,93.67486560125,108.3,124.2982623,125.6254339,95.43021627
2013.0,11.0,107.75840080738686,96.76143256825,104,124.4201413,123.9243789,94.80858378
2013.0,12.0,105.66376815821148,94.41181354,103.8,123.0406275,123.7390521,92.58522472
2014.0,1.0,103.01710201287143,91.807405208,99.1,122.7021105,125.4814176,99.36216184
2014.0,2.0,102.27698278837164,89.52959057475,100.3,121.5097781,122.3423769,91.90960703
2014.0,3.0,103.53616493926876,92.59269151625,103.1,119.7934886,120.6331627,88.55906185
2014.0,4.0,106.02436988128316,97.43486403875,105.1,119.5402071,122.7654225,89.83845281
2014.0,5.0,106.37314787711081,95.0031302365,107.6,118.3959221,123.1819862,91.77824215
2014.0,6.0,105.37160065991993,93.1971194305,106.4,119.4704606,121.7038091,91.80418975
2014.0,7.0,103.63882487688346,93.06291740175,104.7,116.4702012,120.5017099,90.1473583
2014.0,8.0,104.30889099086922,93.24132771975,104.1,119.4355317,123.2565817,93.65564004
2014.0,9.0,105.85205297652026,94.10102290725,105.3,120.1261524,125.6371715,95.06684123
2014.0,10.0,106.6750464803048,91.7016836005,109.4,119.6713735,124.441601,91.97931871
2014.0,11.0,103.58527246580034,90.8855347825,104.4,117.2775015,123.0135875,93.69010196
2014.0,12.0,104.04492082072554,90.4170319225,105,118.879658,125.2492943,92.733599
2015.0,1.0,104.68307766208594,89.62212887525,104.9,122.2279696,121.903503,93.57199958
2015.0,2.0,104.35437414133364,89.1295580165,104.5,122.6411634,122.3428677,95.5897191
2015.0,3.0,100.81819928062974,86.69264499775,100,120.2804538,121.5365637,93.95687841
2015.0,4.0,103.09239236999794,87.489491626,104.3,120.7026881,121.2979982,91.90703255
2015.0,5.0,103.15000674836315,86.685853141,105.8,120.3800485,122.5604883,95.54603245
2015.0,6.0,102.03006150555105,89.299230888,101.9,118.5245389,123.9435443,96.27211796
2015.0,7.0,101.37797802909395,87.54083655025,102.5,118.5671098,120.3518251,93.31079348
2015.0,8.0,101.35793332081121,84.791217467,102.8,119.9838459,119.7940442,93.53922523
2015.0,9.0,97.52003632749242,82.23240889875,99,116.5567783,115.5606297,91.38006076
2015.0,10.0,100.35423530591459,86.302316326,101.6,117.4035856,118.6487385,90.26612247
2015.0,11.0,105.92538809991687,95.22689841525,107.4,119.2070782,125.7681814,95.93421576
